Application No.,First Name,Lase Name,Gender,DOB,Acadamic Year,Class,Section,Roll NO,Register No,Student Type,Father's / Guardians Name,Student Email Id,Parent's / Guardians Mob No,Alternate Mobile No,Emergency Contact No,Address,City,State,Country,Postal Code,joining date,password,Scholarship,Chat Option,First Graduate
10021,Aghornath,A,Male,20-03-2003,2016 - 2018,Second Standard,A,STD2022,2022,Management,Arun,Aghornath@gmail.com,9452 437 8555,9452 437 8557,9452 437 8552,"106, Vakkil New Street, Simmakkal",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10022,Aaryan,B,Male,20-03-2002,2015 - 2017,Third Standard,B,STD2023,2023,Counselling,Bala,Aaryan@gmail.com,9452 422 0166,9452 422 0165,9452 422 0169,"Madurai Main, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10023,Aadi ,T,Male,20-03-2001,2014 - 2016,Fourth Standard,A,STD2024,2024,Management,Thilak,aadi99@gmail.com,8052 439 3080,8052 439 3081,8052 439 3080,"Rail Marutham Nagar, Madurai Main, Madurai, Tamil Nadu",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10024,Manikyam,J,Male,20-03-2000,2010 - 2015,Fifth Standard,A,STD2025,2025,Counselling,Jagan,manik3333@gmail.com,952 4307 8384,952 4307 8381,952 4307 8382,"24/A, Pechiamman-Padithurai Rd, Simmakal, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10025,Adavya ,K,Female,20-03-2004,2017 - 2020,First Standard,B,STD2026,2026,Counselling,Karthik,Adavya@gmail.com,922 437 8384,922 437 8388,922 437 8377,"24/A, Pechiamman-Padithurai Rd, Simmakal, Madurai, Tamil Nadu 625001",Madurai,Tamil nadu,India,625001,20-03-1999,12345,Yes,Yes,Yes
10026,Rushita,B,Female,20-03-2004,2017 - 2020,First Standard,C,STD2027,2027,Counselling,Barath,rushita99@gmail.com,97875 88111,97875 88110,97875 88119,"35-B, Binary Service, 10th Street, Behind Malabar gold & diamonds, Gandhipuram, Coimbatore, Tamil Nadu 641012",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,No,Yes
10027,Saanvi,K,Female,20-03-2003,2016 - 2018,Second Standard,A,STD2028,2028,Counselling,Kavin Kumar,Saanvi123@gmail.com,77929 87571,77929 87577,77929 87570,"90/186 Near Reliance Mobile Store,100 Feet Road, Coimbatore, Tamil Nadu 641012",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,No,Yes
10028,Anaya,I,Female,20-03-2001,2014 - 2016,Fourth Standard,A,STD2029,2029,Counselling,Indrajith,Ananya123@gmail.com,75988 89993,75988 89997,75988 89998,"34/112,Near Sabari Towers,100 Feet Road, Coimbatore, Tamil Nadu ",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,No,Yes
10029,Anishka,M,Female,20-03-2000,2010 - 2015,Fifth Standard,B,STD2030,2030,Management,Manoj,Anishka99@gmail.com,097913 27243,097913 27248,097913 27249,"114, 285, Diwan Bahadur Rd, R.S. Puram, Coimbatore, Tamil Nadu 641012",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,No,Yes
10030,Sanvitha,L,Female,20-03-2000,2010 - 2015,Fifth Standard,D,STD2031,2031,Management,Lingesh,Saanvitha@gmail.com,98422 66860,097913 27245,097913 27266,"77, Sathy Road, Ganapathi, Coimbatore, Tamil Nadu 641006",Coimbatore,Tamil nadu,India,641012,20-03-1999,12345,Yes,No,Yes
10031,,,,,,,,,,,,,,,,,,,,,,,,,
10032,,,,,,,,,,,,,,,,,,,,,,,,,
10033,,,,,,,,,,,,,,,,,,,,,,,,,
10034,,,,,,,,,,,,,,,,,,,,,,,,,
10035,,,,,,,,,,,,,,,,,,,,,,,,,
10036,,,,,,,,,,,,,,,,,,,,,,,,,
10037,,,,,,,,,,,,,,,,,,,,,,,,,
10038,,,,,,,,,,,,,,,,,,,,,,,,,
10039,,,,,,,,,,,,,,,,,,,,,,,,,
10040,,,,,,,,,,,,,,,,,,,,,,,,,
10041,,,,,,,,,,,,,,,,,,,,,,,,,
10042,,,,,,,,,,,,,,,,,,,,,,,,,
10043,,,,,,,,,,,,,,,,,,,,,,,,,
